moveId,sinopsis,rating
2558,"Ben Holmes, a professional book-jacket blurbologist, is trying to get to Savannah for his wedding. He just barely catches the last plane, but a seagull flies into the engine as the plane is taking off. All later flights are cancelled because of an approaching hurricane, so he is forced to hitch a ride in a Geo Metro with an attractive but eccentric woman named Sara.",54
2560,"Upon receiving reports of missing persons at Fort Spencer, a remote Army outpost on the Western frontier, Capt. John Boyd investigates. After arriving at his new post, Boyd and his regiment aid a wounded frontiersman who recounts a horrifying tale of a wagon train murdered by its supposed guide -- a vicious U.S. Army colonel gone rogue. Fearing the worst, the regiment heads out into the wilderness to verify the gruesome claims.",68
695,"Mary Giordano is a bright, intelligent student who goes to a catholic school. She also has a addiction to mystery novels and detective magazines, which inspire her to do her own detective work. When she starts snooping around on the case of a murderer of teenage girls, it gets her in hot water with her mentor Detective Jerry Gunn. But it also starts a team up with police cadet Tony Campbell. The two work together to find the murderer. But the closer Mary gets to solving the murder, the more danger she puts herself in of being the next victim.",60
2563,"Veronica is brilliant, gifted and beautiful, but the handsome aristocrat she loves, Marco Venier, cannot marry her because she is penniless and of questionable family. So Veronica's mother, Paola, teaches her to become a courtesan, one of the exotic companions favored by the richest and most powerful Venetian men. Veronica courageously uses her charms to change destiny -- and to give herself a chance at true love.",71
2559,Animated version of the Rodgers and Hammerstein musical about when the King of Siam meets a head strong English school mistress.,55
2567,Video store clerk Ed agrees to have his life filmed by a camera crew for a tv network.,60
2571,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",82
2572,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",76
2570,The world of a young housewife is turned upside down when she has an affair with a free-spirited blouse salesman.,61
2573,A dangerous love affair inspires a director to create the most spectacular and bodly seductive dance film ever made. 1998 Oscar Nominee Best Foreign Language Film.,64
2575,"In Lille, two penniless young women with few prospects become friends. Isa moves in with Marie, who's flat-sitting for a mother and child in hospital in comas following a car crash. Isa is out-going, unskilled, with hopes of moving south to warmer climes. Marie usually is either angry or detached. Then, while Isa begins to visit the child in whose flat they live, going to hospital to read to her, Marie slowly falls for a rich youth. At first Marie keeps him at bay, then she not only pursues him, she begins to dream he is her life's love. When Isa tries to warn Marie, their friendship flounders. How will Marie handle the inevitable? And once they lose the flat, where will they go?",71
2574,"The adventures of married couple Henry and Nancy Clark, vexed by misfortune while in New York City for Henry's job interview.",57
